transportation;robot_6;37;15.80;259.13;261.63;64.58;197.04;29.55;7.79;20.80;6.44;0.00
charging;robot_5;-1;0.00;481.38;45.68;45.31;0.37;16.19;29.12
transportation;robot_8;57;24.44;446.49;101.56;55.56;45.99;11.00;10.00;28.19;6.37;75.56
transportation;robot_3;54;37.48;422.54;134.56;76.92;57.64;24.05;11.16;31.50;10.21;62.42
transportation;robot_4;43;24.06;281.67;277.54;59.91;217.62;17.25;10.14;23.95;8.57;3.74
transportation;robot_2;48;40.24;402.47;163.22;70.10;93.12;27.10;8.71;28.10;6.19;32.14
transportation;robot_7;52;49.38;447.57;129.37;80.23;49.14;29.29;8.99;35.34;6.62;50.62
charging;robot_6;-1;0.00;520.90;56.76;56.44;0.33;28.98;27.45
transportation;robot_1;45;40.15;417.85;179.91;80.67;99.25;28.40;10.01;32.25;10.01;27.81
transportation;robot_5;60;52.28;481.96;125.22;79.77;45.45;35.10;8.81;27.65;8.21;47.72
charging;robot_4;-1;3.74;559.35;53.75;53.50;0.25;25.10;28.40
transportation;robot_2;49;18.63;405.87;211.13;51.00;160.13;18.70;9.69;16.35;6.26;13.52
transportation;robot_8;58;43.11;447.14;175.15;73.90;101.25;27.00;8.22;30.95;7.72;32.45
transportation;robot_3;44;40.58;422.99;201.07;66.71;134.36;28.35;10.59;20.35;7.43;21.84
transportation;robot_7;56;23.63;447.96;190.63;61.30;129.33;20.30;10.70;21.45;8.84;27.00
transportation;robot_6;62;36.23;521.63;128.14;71.76;56.38;28.65;8.11;23.85;11.14;63.77
transportation;robot_3;50;18.38;423.73;250.88;50.20;200.68;16.55;12.74;13.41;7.50;3.46
charging;robot_2;-1;13.16;617.14;59.06;58.81;0.25;29.96;28.86
transportation;robot_1;51;27.81;418.44;258.05;78.38;179.67;29.30;17.21;22.86;9.01;0.00
transportation;robot_5;61;36.88;482.35;198.01;72.89;125.13;21.35;13.86;25.12;12.56;10.84
transportation;robot_8;46;32.45;447.19;236.87;61.44;175.43;27.70;8.70;18.86;6.18;0.00
transportation;robot_4;69;41.57;560.17;134.98;81.69;53.30;19.29;15.72;39.13;7.54;58.43
transportation;robot_7;59;27.00;453.16;247.85;62.12;185.73;22.74;8.48;24.65;6.25;0.00
charging;robot_5;-1;4.01;680.50;41.31;41.00;0.31;15.65;25.35
transportation;robot_6;63;42.87;522.23;204.43;76.54;127.89;37.86;11.13;19.40;8.16;20.91
charging;robot_3;-1;3.46;674.75;53.37;53.10;0.27;25.60;27.50
charging;robot_1;-1;0.00;676.66;56.42;56.08;0.33;26.98;29.10
charging;robot_8;-1;0.00;684.19;50.87;50.55;0.32;25.20;25.35
transportation;robot_2;67;40.44;617.96;129.84;71.29;58.55;29.77;7.52;25.90;8.11;59.56
charging;robot_7;-1;0.00;701.15;47.35;47.10;0.25;23.25;23.85
transportation;robot_4;70;27.71;560.82;197.86;63.18;134.68;21.76;10.92;17.95;12.55;30.72
transportation;robot_6;66;20.91;528.97;255.59;57.55;198.04;15.35;11.32;20.55;10.33;0.00
transportation;robot_8;81;29.23;684.72;105.88;55.18;50.69;9.90;10.10;29.30;5.88;70.77
transportation;robot_5;71;40.25;681.58;112.86;72.33;40.53;27.85;12.64;24.62;7.22;59.75
transportation;robot_1;75;36.51;677.20;128.89;72.71;56.17;32.90;7.83;24.21;7.78;63.49
transportation;robot_3;55;45.23;675.42;132.49;79.39;53.09;28.55;9.23;33.56;8.06;54.77
transportation;robot_2;68;43.57;618.55;197.01;67.47;129.54;23.50;7.89;30.10;5.98;15.99
transportation;robot_7;82;61.16;704.87;148.52;104.58;43.94;23.50;12.77;58.70;9.61;38.84
charging;robot_6;-1;0.00;784.71;70.21;69.92;0.29;40.52;29.40
transportation;robot_4;64;30.72;560.88;294.53;96.44;198.10;46.60;7.84;31.65;10.35;0.00
transportation;robot_8;74;46.15;685.13;182.03;76.27;105.77;32.09;8.03;27.95;8.19;24.62
transportation;robot_1;76;24.57;677.85;191.00;62.46;128.54;20.45;8.28;25.40;8.34;38.93
transportation;robot_5;73;46.68;682.28;194.68;82.18;112.49;35.72;8.22;31.96;6.28;13.07
transportation;robot_2;72;15.99;619.15;264.86;68.10;196.76;19.65;7.83;33.80;6.82;0.00
transportation;robot_3;65;49.84;676.03;216.21;84.03;132.18;34.10;9.46;34.72;5.75;4.93
charging;robot_4;-1;0.00;855.52;58.20;57.95;0.25;37.98;19.97
charging;robot_8;-1;16.64;867.35;53.22;53.00;0.22;26.70;26.30
charging;robot_5;-1;4.69;877.10;51.55;51.30;0.25;25.02;26.28
transportation;robot_1;79;32.68;680.75;251.84;63.23;188.61;27.64;14.46;15.45;5.68;6.25
charging;robot_2;-1;0.00;884.14;52.32;52.02;0.29;27.97;24.05
transportation;robot_7;77;38.84;705.28;232.78;84.37;148.41;42.40;13.49;20.00;8.48;0.00
transportation;robot_6;87;42.41;785.12;154.88;84.55;70.32;41.58;10.69;24.35;7.93;57.59
charging;robot_3;-1;4.93;892.37;50.97;50.75;0.22;21.15;29.60
charging;robot_1;-1;3.37;932.74;41.81;41.55;0.26;12.50;29.05
transportation;robot_4;83;37.48;855.98;127.42;69.43;57.99;29.80;7.85;24.05;7.73;62.52
charging;robot_7;-1;0.00;938.19;45.56;45.25;0.31;20.10;25.15
transportation;robot_8;80;37.02;867.98;128.58;75.60;52.99;24.60;10.35;33.45;7.19;62.98
transportation;robot_2;95;25.68;884.66;115.54;63.40;52.14;26.25;8.24;18.50;10.41;74.32
transportation;robot_5;92;42.22;877.57;126.26;74.82;51.44;27.96;8.05;28.20;10.61;57.78
transportation;robot_6;84;37.01;787.01;222.24;68.96;153.28;27.10;9.02;26.76;6.08;20.58
transportation;robot_3;97;56.25;892.75;141.45;90.51;50.94;32.70;10.91;35.22;11.69;43.75
transportation;robot_1;90;32.80;933.40;110.26;68.77;41.49;20.40;12.39;27.51;8.47;67.20
transportation;robot_4;85;32.08;856.38;190.95;63.63;127.31;28.10;8.22;19.70;7.61;30.43
charging;robot_6;-1;7.78;1009.41;41.72;41.42;0.30;17.92;23.50
transportation;robot_7;101;51.14;939.13;128.59;83.62;44.98;35.47;9.59;32.00;6.55;48.86
transportation;robot_2;88;35.58;891.57;196.64;87.70;108.94;21.97;17.02;32.60;16.11;38.74
transportation;robot_8;86;48.19;868.48;226.96;98.52;128.43;25.92;15.10;42.21;15.30;14.79
transportation;robot_5;96;45.84;877.97;219.06;92.85;126.20;30.12;9.65;36.30;16.77;11.95
transportation;robot_3;78;42.92;893.21;217.15;75.85;141.30;35.10;14.87;19.80;6.08;0.83
transportation;robot_1;99;46.83;934.05;181.41;71.25;110.16;24.80;9.83;30.93;5.69;20.37
transportation;robot_4;91;29.52;856.77;262.23;71.33;190.90;26.65;12.17;25.70;6.80;0.91
transportation;robot_6;106;36.37;1010.10;113.62;72.25;41.38;28.55;16.05;21.75;5.89;63.63
transportation;robot_7;102;44.58;939.52;207.19;78.64;128.55;21.85;13.29;36.10;7.40;4.28
charging;robot_8;-1;14.79;1095.55;55.89;55.55;0.34;26.10;29.45
charging;robot_5;-1;11.95;1097.25;70.49;70.24;0.25;41.04;29.20
charging;robot_4;-1;0.91;1119.12;53.70;53.42;0.28;23.67;29.75
charging;robot_1;-1;9.30;1115.59;59.26;58.95;0.31;34.55;24.40
charging;robot_3;-1;0.59;1111.69;64.18;63.87;0.31;34.82;29.05
transportation;robot_2;89;35.34;891.96;285.93;89.39;196.54;31.10;9.91;40.91;7.47;3.40
transportation;robot_6;93;42.28;1010.61;179.80;66.33;113.47;35.75;7.48;17.55;5.55;21.35
consumed_battery;robot_1;455.63
consumed_battery;robot_2;433.30
consumed_battery;robot_3;416.42
consumed_battery;robot_4;338.56
consumed_battery;robot_5;430.08
consumed_battery;robot_6;367.21
consumed_battery;robot_7;429.00
consumed_battery;robot_8;409.16
